ID,SFR,2MASS_ID,NAME,PI,EPI,FL_PI,DPC,EDPC_H,EDPC_L,FL_MULT,SEP,SED,SPT,REF_SPT,FL_Teff,logTeff,elogTeff,REF_Teff,logLs_in,d_in,elogLs_in,FL_logLs,logLs,elogLs_H,elogLs_L,REF_Ls,FL_logMs,logMs,elogMs_H,elogMs_L,FL_logt,logt,elogt_H,elogt_L,nu_B7,FL_B7,F_B7,eF_B7,LIM_B7,REF_B7,nu_B6,FL_B6,F_B6,eF_B6,LIM_B6,REF_B6,nu_B3,FL_B3,F_B3,eF_B3,LIM_B3,REF_B3,FL_A67,A67,eA67_hi,eA67_lo,LIM_A67,FL_A36,A36,eA36_hi,eA36_lo,LIM_A36,FL_R7,R7,eR7_hi,eR7_lo,LIM_R7,REF_R7,FL_R6,R6,eR6_hi,eR6_lo,LIM_R6,REF_R6,FL_Mgas,Mgas,FL_RCO,R_CO,eR_CO
432,Cha,J11100704-7629376,WY_Cha,5.57,0.28,GaiaDR2,179.6,10.3,9.0,J,0.12,II,K7,Manara17,0,3.609,0.010,Manara17,-0.276,160.0,0.200,0,-0.172,0.202,0.209,Manara17,0,-0.127,0.053,0.075,0,6.40,0.30,0.43,338.0,0,7.17,0.78,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.38,,,
433,Cha,J11100785-7727480,ISO-ChaI_235,5.00,0.32,GaiaDR2,198.9,16.3,11.0,U,-1,II,M5.5,Manara17,0,3.486,0.010,Manara17,-1.398,160.0,0.200,0,-1.202,0.209,0.206,Manara17,0,-0.894,0.093,0.083,0,6.39,0.20,0.39,338.0,0,0.49,0.16,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.07,,,
434,Cha,J11101141-7635292,ISO-ChaI_237,5.12,0.05,GaiaDR2,194.3,4.5,4.0,U,0,II,K5,Manara16,0,3.638,0.010,Manara16,-0.215,160.0,0.200,0,-0.042,0.195,0.205,Manara16,0,-0.006,0.045,0.068,0,6.35,0.52,0.29,338.0,0,73.82,1.40,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.54,0.06,0.06,0.00,,,,,,,,1,0.40,,,
435,Cha,J11103801-7732399,Glass_Q,5.31,0.44,avg,186.4,21.7,11.5,J,0.17,II,K4,Manara17,0,3.662,0.010,Manara17,0.279,160.0,0.200,0,0.424,0.220,0.205,Manara17,0,0.072,0.042,0.064,0,5.90,0.37,0.25,338.0,0,5.37,0.78,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.42,,,
436,Cha,J11104141-7720480,ISO-ChaI_252,4.90,0.29,GaiaDR2,202.9,15.3,10.6,U,-1,II,M5.5,Manara17,0,3.486,0.010,Manara17,-2.000,160.0,0.200,0,-1.752,0.174,0.240,Manara17,0,-0.956,0.093,0.103,0,6.91,0.36,0.19,338.0,1,0.00,0.16,0.48,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.08,,,
437,Cha,J11104959-7717517,FO_Cha,5.40,0.04,GaiaDR2,184.4,3.7,3.7,W,12.09,II,M2,Manara17,0,3.551,0.010,Manara17,-0.824,160.0,0.200,0,-0.696,0.195,0.206,Manara17,0,-0.393,0.065,0.065,0,6.52,0.36,0.31,338.0,0,58.37,1.45,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.68,0.10,0.07,0.00,,,,,,,,1,0.37,,,
438,Cha,J11105333-7634319,WZ_Cha,5.14,0.03,GaiaDR2,193.3,4.3,3.5,U,-1,II,M3,Manara17,0,3.533,0.010,Manara17,-0.796,160.0,0.200,0,-0.633,0.204,0.199,Manara17,0,-0.518,0.066,0.088,0,6.15,0.34,0.33,338.0,0,31.02,1.29,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.56,0.08,0.07,0.00,,,,,,,,1,0.48,,,
439,Cha,J11105359-7725004,IK_Cha,5.11,0.28,GaiaDR2,193.9,14.1,8.8,U,-1,II,M5,Manara17,0,3.495,0.010,Manara17,-1.398,160.0,0.200,0,-1.208,0.193,0.220,Manara17,0,-0.820,0.096,0.086,0,6.49,0.27,0.29,338.0,0,7.88,0.34,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.45,0.22,0.19,0.00,,,,,,,,0,0.03,,,
440,Cha,J11105597-7645325,Hn_13,7.13,0.73,GaiaDR2,140.6,19.3,11.5,J,0.13,II,M6.5,Manara17,0,3.468,0.010,Manara17,-0.886,160.0,0.200,0,-0.968,0.210,0.235,Manara17,0,-0.967,0.053,0.117,0,5.87,0.42,0.07,338.0,0,2.23,0.22,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.07,,,
441,Cha,J11111083-7641574,ESO-Ha_569,5.19,0.37,avg,192.1,17.2,11.9,U,-1,II,M1,Manara17,0,3.569,0.010,Manara17,-2.523,160.0,0.200,9,-0.700,0.200,0.219,Manara17,0,-0.282,0.064,0.064,0,6.83,0.29,0.42,338.0,0,54.27,1.75,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,106.0,0,3.20,0.10,0.00,Dunham16,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,2.07,0.09,0.07,0.00,,,,,,,,0,0.42,,,
442,Cha,J11113965-7620152,XX_Cha,5.25,0.03,GaiaDR2,189.7,3.7,3.9,U,-1,II,M3.5,Manara16,0,3.524,0.010,Manara16,-0.538,160.0,0.200,0,-0.386,0.196,0.207,Manara16,0,-0.613,0.078,0.056,0,5.85,0.16,0.69,338.0,0,21.48,0.80,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.48,,,,,,,,1,0.41,,,
443,Cha,J11114632-7620092,CHX_18N,5.19,0.02,GaiaDR2,191.4,4.2,3.3,U,-1,II,K2,Manara16,0,3.690,0.010,Manara16,0.013,160.0,0.200,0,0.157,0.213,0.188,Manara16,0,0.143,0.046,0.046,0,6.52,0.33,0.27,338.0,0,35.20,1.26,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.49,0.09,0.10,0.00,,,,,,,,1,0.51,,,
444,Cha,J11120351-7726009,IM_Cha,5.39,0.11,GaiaDR2,184.9,5.2,5.0,U,-1,II,M5.5,Manara17,0,3.486,0.010,Manara17,-1.155,160.0,0.200,0,-1.016,0.187,0.216,Manara17,0,-0.872,0.084,0.073,0,6.23,0.20,0.36,338.0,0,2.95,0.16,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.59,,,,,,,,0,0.03,,,
445,Cha,J11120984-7634366,IN_Cha,5.18,0.05,GaiaDR2,191.6,4.8,3.5,U,-1,II,M5,Manara17,0,3.495,0.010,Manara17,-0.854,160.0,0.200,0,-0.697,0.202,0.199,Manara17,0,-0.761,0.055,0.077,0,5.78,0.43,0.00,338.0,0,4.44,0.22,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.87,,,,,,,,1,0.07,,,
,Cha,J11122441-7637064,Sz_41_AB,5.16,0.02,GaiaDR2,192.6,4.2,3.4,J,1.97,II,,,,,,,,,,,,,,,,,,,,,,,340.0,0,1.21,0.16,0.00,Long18,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,,,,0.00,,,,,,,,1,0.46,,,
446,Cha,,Sz_41_A,5.16,0.02,GaiaDR2,192.6,4.2,3.4,B,0,II,K2,Manara16,0,3.690,0.010,Manara16,-0.194,160.0,0.200,0,-0.036,0.205,0.197,Manara16,0,0.124,0.031,0.094,0,6.74,0.41,0.24,340.0,0,1.21,0.16,0.00,Long18,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Cha,,Sz_41_B,5.16,0.02,GaiaDR2,192.6,4.2,3.4,B,0,II,,,,,,,,,,,,,,,,,,,,,,,340.0,1,-1.00,-1.00,0.48,Long18,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,,,,0.00,,,,,,,,,,,,
447,Cha,J11122772-7644223,CV_Cha,5.17,0.03,GaiaDR2,192.2,4.3,3.5,W,11.18,II,K0,Manara16,0,3.708,0.010,Manara16,0.407,160.0,0.200,0,0.582,0.185,0.215,Manara16,0,0.261,0.053,0.053,0,6.25,0.25,0.26,338.0,0,59.05,1.29,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.42,0.10,0.10,0.00,,,,,,,,1,0.38,,,
448,Cha,J11123092-7644241,CW_Cha,5.10,0.05,GaiaDR2,195.1,4.5,4.1,U,-1,II,M0.5,Manara17,0,3.577,0.010,Manara17,-0.745,160.0,0.200,0,-0.589,0.217,0.184,Manara17,0,-0.244,0.065,0.065,0,6.71,0.31,0.39,338.0,0,12.18,0.83,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.74,,,,,,,,1,0.43,,,
449,Cha,J11124268-7722230,BYB_51,4.96,0.41,GaiaDR2,200.2,22.5,13.0,J,0.24,II,K0,Manara16,0,3.708,0.010,Manara16,0.400,160.0,0.200,0,0.609,0.215,0.210,Manara16,0,0.271,0.056,0.056,0,6.13,0.34,0.20,340.0,1,0.00,0.16,0.48,Long18,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.51,,,
450,Cha,J11124861-7647066,Hn_17,5.23,0.06,GaiaDR2,190.0,4.7,3.8,U,-1,II,M4.5,Manara16,0,3.505,0.010,Manara16,-0.959,160.0,0.200,0,-0.821,0.213,0.187,Manara16,0,-0.735,0.077,0.077,0,6.11,0.21,0.63,338.0,1,-0.10,0.16,0.48,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.08,,,
451,Cha,J11132446-7629227,Hn_18,5.28,0.05,GaiaDR2,188.4,4.2,3.7,U,-1,II,M4,Manara16,0,3.515,0.010,Manara16,-0.959,160.0,0.200,0,-0.820,0.203,0.198,Manara16,0,-0.673,0.105,0.063,0,6.24,0.28,0.47,338.0,0,8.07,0.79,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.61,0.19,0.18,0.00,,,,,,,,1,0.41,,,
,Cha,J11142454-7733062,Hn_21W_AB,5.29,0.08,GaiaDR2,188.0,4.9,4.1,J,5.48,II,,,,,,,,,,,,,,,,,,,,,,,338.0,0,7.43,0.34,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,,,,0.00,,,,,,,,1,0.08,,,
452,Cha,,Hn_21W_A,5.29,0.08,GaiaDR2,188.0,4.9,4.1,B,0,II,M4.5,Manara16,0,3.505,0.010,Manara16,-0.921,160.0,0.200,0,-0.769,0.191,0.213,Manara16,0,-0.746,0.087,0.065,0,6.09,0.20,0.66,338.0,0,7.43,0.34,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.44,0.07,0.10,0.00,,,,,,,,,,,,
,Cha,,Hn_21W_B,5.29,0.08,GaiaDR2,188.0,4.9,4.1,B,0,II,,,,,,,,,,,,,,,,,,,,,,,338.0,1,-1.00,-1.00,1.02,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,,,,0.00,,,,,,,,,,,,
453,Cha,J11160287-7624533,ESO-Ha_574,4.70,0.61,avg,211.6,43.3,18.9,U,-1,II,K8,Luhman07,0,3.597,0.010,Luhman07,-2.469,162.2,0.070,9,-0.500,0.154,0.127,Luhman07,0,-0.129,0.032,0.075,0,6.75,0.27,0.28,338.0,0,12.83,1.68,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.88,0.23,0.16,0.00,,,,,,,,1,0.40,,,
454,Cha,J11173700-7704381,Sz_45,5.31,0.02,GaiaDR2,186.8,4.2,2.9,U,-1,II,M0.5,Manara14,0,3.577,0.010,Manara14,-0.377,160.0,0.200,0,-0.234,0.195,0.206,Manara14,0,-0.309,0.088,0.044,0,6.10,0.40,0.30,338.0,0,28.26,1.29,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.57,0.13,0.09,0.00,,,,,,,,0,0.48,,,
455,Cha,J11175211-7629392,J11175211,5.21,0.06,GaiaDR2,191.0,4.5,4.0,U,-1,II,M4.5,Luhman07,0,3.505,0.010,Luhman07,-1.060,162.2,0.070,0,-0.916,0.070,0.074,Luhman07,0,-0.725,0.082,0.113,0,6.20,0.17,0.23,338.0,1,-0.31,0.16,0.48,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,1,0.07,,,
456,Cha,J11183572-7935548,J11183572,10.57,0.15,GaiaDR2,94.4,1.7,1.5,U,-1,II,M5,Manara17,0,3.495,0.010,Manara17,-0.585,160.0,0.200,0,-1.052,0.212,0.191,Manara17,0,-0.810,0.093,0.073,0,6.29,0.26,0.33,338.0,0,14.52,0.35,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,,,,,,,,0,0.03,,,
457,Cha,J11241186-7630425,J11241186,5.41,0.07,GaiaDR2,184.5,3.7,4.6,U,-1,II,M5.5,Manara17,0,3.486,0.010,Manara17,-1.523,160.0,0.200,0,-1.442,0.241,0.162,Manara17,0,-0.916,0.097,0.097,0,6.53,0.28,0.26,338.0,0,1.47,0.16,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.35,0.09,0.08,0.00,,,,,,,,1,0.07,,,
458,Cha,J11432669-7804454,J11432669,5.54,0.56,GaiaDR2,180.5,24.7,14.5,U,-1,II,M5.5,Manara17,0,3.486,0.010,Manara17,-1.046,160.0,0.200,0,-0.930,0.230,0.212,Manara17,0,-0.854,0.074,0.074,0,6.05,0.31,0.23,338.0,1,1.36,0.50,2.86,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.66,,,,,,,,1,0.08,,,
,Usco,J15354856-2958551,J15354856,6.77,0.75,avg,147.8,22.7,12.5,J,0.844,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-0.600,145.0,0.150,0,-0.574,0.196,0.166,Barenfeld16,0,-0.702,0.159,0.085,0,5.97,0.18,0.77,341.1,0,1.92,0.15,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,2.44,,,,,,,,,,,,
,Usco,J15514032-2146103,J15514032,7.03,0.11,GaiaDR2,141.4,3.4,2.6,U,0,EVOLVED,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.310,145.0,0.140,0,-1.320,0.131,0.152,Barenfeld16,0,-0.616,0.112,0.184,0,6.91,0.35,0.35,341.1,0,0.76,0.16,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,2.33,,,,,,,,,,,,
,Usco,J15521088-2125372,J15521088,5.97,0.27,GaiaDR2,166.5,9.4,6.8,U,0,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.810,145.0,0.140,9,-1.200,0.152,0.140,Barenfeld16,0,-0.622,0.123,0.185,0,6.63,0.46,0.25,341.1,1,-0.10,0.15,0.45,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15530132-2114135,J15530132,6.83,0.12,GaiaDR2,145.8,3.6,3.0,U,0,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.200,145.0,0.140,0,-1.189,0.136,0.147,Barenfeld16,0,-0.606,0.105,0.200,0,6.67,0.40,0.29,341.1,0,5.78,0.14,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.19,0.16,0.21,0.00,,,,,,,,,,,,
,Usco,J15534211-2049282,J15534211,7.37,0.18,GaiaDR2,135.1,4.2,3.4,U,0,II,M3.5,Luhman12,0,3.524,0.019,Barenfeld16,-0.840,145.0,0.140,0,-0.905,0.148,0.136,Barenfeld16,0,-0.558,0.115,0.198,0,6.43,0.34,0.35,341.1,0,2.93,0.29,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.61,0.24,0.15,0.00,,,,,,,,,,,,
,Usco,J15551704-2322165,J15551704,8.02,0.11,GaiaDR2,124.3,2.4,2.2,U,0,DEBRIS,M2.5,Luhman12,0,3.543,0.018,Barenfeld16,-0.540,145.0,0.150,0,-0.663,0.141,0.161,Barenfeld16,0,-0.427,0.095,0.169,0,6.32,0.39,0.28,341.1,1,0.11,0.15,0.56,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15554883-2512240,HD_142506,6.95,0.05,GaiaDR2,143.3,2.5,2.1,U,0,DEBRIS,G3,Luhman12,0,3.766,0.008,Barenfeld16,0.370,145.0,0.150,0,0.366,0.144,0.157,Barenfeld16,0,0.034,0.119,0.000,0,7.17,0.30,0.17,341.1,1,-0.14,0.15,0.45,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15562477-2225552,J15562477,7.08,0.11,GaiaDR2,140.9,3.0,3.0,U,0,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.180,145.0,0.140,0,-1.211,0.148,0.135,Barenfeld16,0,-0.615,0.114,0.187,0,6.70,0.37,0.30,341.1,1,0.28,0.18,0.76,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15564002-2201400,HD_142666,6.74,0.05,GaiaDR2,147.9,2.5,2.5,U,0,II,A8,Fairlamb15,0,3.880,0.020,Fairlamb15,0.960,148.0,0.200,0,0.942,0.219,0.185,Fairlamb15,0,0.233,0.044,0.046,10,7.11,0.38,0.21,345.0,0,313.00,5.00,0.00,Sandell11,231.9,0,130.00,0.02,0.00,Andrews18,90.8,0,11.00,1.00,0.00,Natta04,0,2.21,0.36,0.36,0.00,0,2.63,0.18,0.18,0.00,-1,0.00,0.00,0.00,0.00,,0,1.590,0.100,0.100,0,dsharp,,,,,
,Usco,J15570641-2206060,J15570641,6.34,0.12,GaiaDR2,156.7,4.4,3.3,U,0,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.440,145.0,0.150,0,-1.376,0.157,0.145,Barenfeld16,0,-0.601,0.095,0.200,0,6.85,0.46,0.25,341.1,1,0.32,0.20,0.92,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15572986-2258438,UscoCTIO_13,6.52,0.68,avg,153.6,21.7,12.6,U,0,EVOLVED,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.330,145.0,0.150,0,-1.264,0.183,0.174,Barenfeld16,0,-0.607,0.102,0.195,0,6.82,0.36,0.38,341.1,1,-0.04,0.20,0.60,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15581270-2328364,SAO_183978,6.97,0.06,GaiaDR2,142.9,2.6,2.2,U,0,DEBRIS,G6,Luhman12,0,3.756,0.009,Barenfeld16,0.400,145.0,0.150,0,0.383,0.155,0.148,Barenfeld16,0,0.125,0.075,0.053,0,7.05,0.18,0.21,341.1,1,0.00,0.15,0.45,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J15582981-2310077,Usco_42,6.78,0.13,GaiaDR2,147.0,3.7,3.4,U,0,II,M3,Luhman12,0,3.533,0.018,Barenfeld16,-1.310,145.0,0.140,0,-1.294,0.137,0.146,Barenfeld16,0,-0.496,0.095,0.158,0,7.15,0.31,0.38,341.1,0,5.86,0.18,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.53,0.67,0.36,0.00,,,,,,,,,,,,
,Usco,J15583692-2257153,HD_143006,6.02,0.15,GaiaDR2,165.3,5.5,4.4,S,0,II,G7,Luhman12,0,3.751,0.009,Barenfeld16,0.470,145.0,0.150,0,0.592,0.147,0.157,Barenfeld16,0,0.222,0.064,0.064,0,6.75,0.21,0.17,341.1,0,174.92,0.27,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.96,0.02,0.01,0.00,,0,1.825,0.100,0.100,0,dsharp,,,,,
,Usco,J15584772-1757595,J15584772,7.20,0.05,GaiaDR2,138.3,2.3,1.9,U,0,DEBRIS,K4,Luhman12,0,3.662,0.010,Barenfeld16,-0.010,145.0,0.150,0,-0.049,0.151,0.152,Barenfeld16,0,0.055,0.033,0.033,0,6.60,0.28,0.24,341.1,1,-0.20,0.15,0.45,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J16001330-2418106,J16001330,6.84,0.05,GaiaDR2,145.5,2.6,2.1,S,0,DEBRIS,M0,Luhman12,0,3.586,0.024,Barenfeld16,-0.560,145.0,0.150,0,-0.555,0.149,0.151,Barenfeld16,0,-0.145,0.031,0.206,0,6.69,0.33,0.39,341.1,1,0.05,0.15,0.50,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J16001730-2236504,J16001730,6.72,0.10,GaiaDR2,148.6,2.9,3.4,U,0,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-0.820,145.0,0.150,0,-0.799,0.151,0.153,Barenfeld16,0,-0.759,0.245,0.072,0,6.19,0.30,0.62,341.1,1,0.10,0.15,0.55,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Usco,J16001844-2230114,J16001844,7.26,0.43,GaiaDR2,137.1,10.1,6.9,U,0,II,M4.5,Luhman12,0,3.505,0.020,Barenfeld16,-1.130,145.0,0.150,0,-1.181,0.170,0.148,Barenfeld16,0,-0.698,0.136,0.198,0,6.51,0.40,0.35,341.1,0,3.89,0.15,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.37,,,,,,,,,,,,
,Usco,J16014086-2258103,J16014086,8.05,0.02,avg,123.8,1.7,1.4,J,0.706,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-0.900,145.0,0.140,0,-1.040,0.144,0.137,Barenfeld16,0,-0.612,0.113,0.216,0,6.46,0.38,0.33,341.1,0,3.45,0.14,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1.33,,,,,,,,,,,,
,Usco,J16014157-2111380,J16014157,6.91,0.12,GaiaDR2,143.8,3.7,2.7,U,0,II,M4,Luhman12,0,3.515,0.019,Barenfeld16,-1.560,145.0,0.150,0,-1.569,0.155,0.147,Barenfeld16,0,-0.611,0.084,0.199,0,7.23,0.33,0.39,341.1,0,0.66,0.14,0.00,Barenfeld16,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,2.45,,,,,,,,,,,,
